,N,CODIGO IIBT,ID DEL ANIMAL ,ESPECIE,SEXO,MESES,EDAD MESES (1= (0-12); 2= (13-36); 3= (37-72); 4= (73-108); 5= (>109); 0= NI,MUNICIPIO,DIRECCIÓN,BARRIO,COMUNA/BARRIO/MUNICIPIO,RESULTADO PCR,Conteo,lat,lon
0,1,D01,TOM,FELINO,M,3,1,SAHAGÚN,NR,NR,SAHAGÚN,NEGATIVO,1,8.9472964,-75.4434972
1,2,D02,MARIA PAULA,FELINO,H,48,3,SAHAGÚN,NR,NR,SAHAGÚN,NEGATIVO,1,8.9472964,-75.4434972
2,3,D03,ALEJANDRA,FELINO,H,3,1,SAHAGÚN,NR,NR,SAHAGÚN,NEGATIVO,1,8.9472964,-75.4434972
3,4,D04,CHARLOTE,FELINO,H,132,5,SAHAGÚN,NR,NR,SAHAGÚN,NEGATIVO,1,8.9472964,-75.4434972
4,5,D05,GATO 12,FELINO,H,6,1,SAHAGÚN,NR,NR,SAHAGÚN,NEGATIVO,1,8.9472964,-75.4434972
5,6,D06,GATO 13,FELINO,H,8,1,SAHAGÚN,NR,NR,SAHAGÚN,NEGATIVO,1,8.9472964,-75.4434972
6,7,D07,GATO 14,FELINO,M,NR,0,SAHAGÚN,NR,NR,SAHAGÚN,NEGATIVO,1,8.9472964,-75.4434972
7,8,D08,PERRO 15,CANINO,M,NR,0,SAHAGÚN,NR,NR,SAHAGÚN,NEGATIVO,1,8.9472964,-75.4434972
8,9,D09,GATO 16,FELINO,H,36,2,SAHAGÚN,NR,NR,SAHAGÚN,NEGATIVO,1,8.9472964,-75.4434972
9,10,D10,ROCKY,CANINO,M,4,1,SAHAGÚN,NR,NR,SAHAGÚN,NEGATIVO,1,8.9472964,-75.4434972
10,11,D11,PELUSA,FELINO,H,3,1,SAHAGÚN,NR,NR,SAHAGÚN,NEGATIVO,1,8.9472964,-75.4434972
11,12,D12,TONTIN,FELINO,M,72,3,SAHAGÚN,NR,NR,SAHAGÚN,NEGATIVO,1,8.9472964,-75.4434972
12,13,D13,CHARLY,FELINO,M,9,1,SAHAGÚN,NR,NR,SAHAGÚN,NEGATIVO,1,8.9472964,-75.4434972
13,14,D14,NEEKO,FELINO,M,12,1,SAHAGÚN,NR,NR,SAHAGÚN,NEGATIVO,1,8.9472964,-75.4434972
14,15,D15,MISIFU,FELINO,M,8,1,SAHAGÚN,NR,NR,SAHAGÚN,NEGATIVO,1,8.9472964,-75.4434972
15,16,D16,MONO,FELINO,M,1,1,SAHAGÚN,NR,NR,SAHAGÚN,NEGATIVO,1,8.9472964,-75.4434972
16,17,D17,NANKO,CANINO,M,12,1,SAHAGÚN,NR,NR,SAHAGÚN,NEGATIVO,1,8.9472964,-75.4434972
17,18,D18,CATALINA,FELINO,H,4,1,SAHAGÚN,NR,NR,SAHAGÚN,NEGATIVO,1,8.9472964,-75.4434972
18,19,D19,GLORIA,FELINO,H,48,3,SAHAGÚN,NR,NR,SAHAGÚN,NEGATIVO,1,8.9472964,-75.4434972
19,20,D20,JANSEL,FELINO,H,5,1,SAHAGÚN,NR,NR,SAHAGÚN,NEGATIVO,1,8.9472964,-75.4434972
20,21,D21,KRATOS,FELINO,M,9,1,SAHAGÚN,NR,NR,SAHAGÚN,NEGATIVO,1,8.9472964,-75.4434972
21,22,D22,STEVE JOBS,CANINO,M,60,3,SAHAGÚN,NR,NR,SAHAGÚN,NEGATIVO,1,8.9472964,-75.4434972
22,23,D23,PELUSA,FELINO,M,24,2,SAHAGÚN,NR,NR,SAHAGÚN,NEGATIVO,1,8.9472964,-75.4434972
23,24,D24,BRUNO,CANINO,M,6,1,SAHAGÚN,NR,NR,SAHAGÚN,NEGATIVO,1,8.9472964,-75.4434972
24,25,D25,SR GATO,FELINO,M,6,1,SAHAGÚN,NR,NR,SAHAGÚN,NEGATIVO,1,8.9472964,-75.4434972
25,26,D26,PRECIOSA,FELINO,H,36,2,SAHAGÚN,NR,NR,SAHAGÚN,NEGATIVO,1,8.9472964,-75.4434972
26,27,D27,COKY,FELINO,M,36,2,SAHAGÚN,NR,NR,SAHAGÚN,NEGATIVO,1,8.9472964,-75.4434972
27,28,D28,ATENEA,FELINO,H,3,1,SAHAGÚN,NR,NR,SAHAGÚN,NEGATIVO,1,8.9472964,-75.4434972
28,29,D29,LILIAN,FELINO,H,4,1,SAHAGÚN,NR,NR,SAHAGÚN,NEGATIVO,1,8.9472964,-75.4434972
29,30,DM1,GATO40,FELINO,M,NR,0,MONTELIBANO,NR,MERCADO,MERCADO,NEGATIVO,1,7.9800534,-75.4167198
30,31,DM2,GATO41,FELINO,H,NR,0,MONTELIBANO,NR,MERCADO,MERCADO,NEGATIVO,1,7.9800534,-75.4167198
31,32,DM3,DOG42,CANINO,M,NR,0,MONTELIBANO,NR,MERCADO,MERCADO,NEGATIVO,1,7.9800534,-75.4167198
32,33,DM4,CAT43,FELINO,H,12,1,MONTELIBANO,NR,MERCADO,MERCADO,NEGATIVO,1,7.9800534,-75.4167198
33,34,DM5,CAT44,FELINO,M,10,1,MONTELIBANO,NR,MERCADO,MERCADO,NEGATIVO,1,7.9800534,-75.4167198
34,35,DM6,CAT39,FELINO,H,8,1,MONTELIBANO,NR,TERMINAL,TERMINAL,NEGATIVO,1,7.9800534,-75.4167198
35,36,DM7,CAT50,FELINO,H,12,1,MONTELIBANO,NR,CAMINO CORRECTO,CAMINO CORRECTO,NEGATIVO,1,7.9800534,-75.4167198
36,37,DM8,DOG51,CANINO,M,4,1,MONTELIBANO,NR,CAMINO CORRECTO,CAMINO CORRECTO,NEGATIVO,1,7.9800534,-75.4167198
37,38,DM9,CAT52,FELINO,M,12,1,MONTELIBANO,NR,CAMINO CORRECTO,CAMINO CORRECTO,NEGATIVO,1,7.9800534,-75.4167198
38,39,DM10,NUCITA,CANINO,H,3,1,MONTELIBANO,NR,CAMINO CORRECTO,CAMINO CORRECTO,NEGATIVO,1,7.9800534,-75.4167198
39,40,DM11,CAT54,FELINO,M,24,2,MONTELIBANO,NR,CAMINO CORRECTO,CAMINO CORRECTO,NEGATIVO,1,7.9800534,-75.4167198
40,41,DM12,CAT55,FELINO,H,24,2,MONTELIBANO,NR,CAMINO CORRECTO,CAMINO CORRECTO,NEGATIVO,1,7.9800534,-75.4167198
41,42,DM13,CAT56,FELINO,H,6,1,MONTELIBANO,NR,CAMINO CORRECTO,CAMINO CORRECTO,NEGATIVO,1,7.9800534,-75.4167198
42,43,DL01,KATTY,CANINO,H ,216,5,LORICA,NR,SAN PEDRO ,SAN PEDRO ,NEGATIVO,1,9.2394583,-75.8139786
43,44,DL02,JERRY ,FELINO,M,24,2,LORICA,NR,SAN PEDRO ,SAN PEDRO ,NEGATIVO,1,9.2394583,-75.8139786
44,45,DL03,JUNIOR ,CANINO,M ,48,3,LORICA,NR,SAN PEDRO ,SAN PEDRO ,NEGATIVO,1,9.2394583,-75.8139786
45,46,DL04,ESTRELLITA ,FELINO,H,24,2,LORICA,NR,SAN PEDRO ,SAN PEDRO ,NEGATIVO,1,9.2394583,-75.8139786
46,47,DL05,LOLA ,FELINO,H,7,1,LORICA,NR,SAN PEDRO ,SAN PEDRO ,NEGATIVO,1,9.2394583,-75.8139786
47,48,DL06,ABBYE ,CANINO,H,24,2,LORICA,NR,SAN PEDRO ,SAN PEDRO ,NEGATIVO,1,9.2394583,-75.8139786
48,49,DL07,CALLEJERO ,FELINO,M,36,2,LORICA,NR,SAN PEDRO ,SAN PEDRO ,NEGATIVO,1,9.2394583,-75.8139786
49,50,DL08,MONO ,FELINO,M ,36,2,LORICA,NR,SAN PEDRO ,SAN PEDRO ,NEGATIVO,1,9.2394583,-75.8139786
50,51,DL09,LOLA ,FELINO,H ,24,2,LORICA,NR,SAN PEDRO ,SAN PEDRO ,NEGATIVO,1,9.2394583,-75.8139786
51,52,DL10,TOBIAS ,CANINO,M,48,3,LORICA,NR,SAN PEDRO ,SAN PEDRO ,NEGATIVO,1,9.2394583,-75.8139786
52,53,DL11,PEPITA ,FELINO,H ,4,1,LORICA,NR,EL PARAISO,EL PARAISO,NEGATIVO,1,9.2394583,-75.8139786
53,54,DL12,ESTRELLA ,CANINO,H,36,2,LORICA,NR,EL PARAISO,EL PARAISO,NEGATIVO,1,9.2394583,-75.8139786
54,55,DL13,MONO ,FELINO,M,24,2,LORICA,NR,EL PARAISO,EL PARAISO,NEGATIVO,1,9.2394583,-75.8139786
55,56,DL14,PANCHITO,FELINO,M,3,1,LORICA,NR,PARQUE ,PARQUE ,NEGATIVO,1,9.2394583,-75.8139786
56,57,DL15,MIRRINGO ,FELINO,M,36,2,LORICA,NR,PARQUE ,PARQUE ,NEGATIVO,1,9.2394583,-75.8139786
57,58,DL16,COVID ,CANINO,M ,7,1,LORICA,NR,PARQUE ,PARQUE ,NEGATIVO,1,9.2394583,-75.8139786
58,59,DL17,SIMON ,FELINO,M,12,1,LORICA,NR,PARQUE ,PARQUE ,NEGATIVO,1,9.2394583,-75.8139786
59,60,DL18,BERENA ,FELINO,H,1,1,LORICA,NR,PARQUE ,PARQUE ,NEGATIVO,1,9.2394583,-75.8139786
60,61,DL19,CRISTIANO ,FELINO,M ,12,1,LORICA,NR,PARQUE ,PARQUE ,NEGATIVO,1,9.2394583,-75.8139786
61,62,DL20,JUNIOR ,CANINO,M ,84,4,LORICA,NR,PARQUE ,PARQUE ,NEGATIVO,1,9.2394583,-75.8139786
62,63,DL21,MANCHIS ,FELINO,H,84,4,LORICA,NR,PARQUE ,PARQUE ,NEGATIVO,1,9.2394583,-75.8139786
63,64,DL22,PORKY ,FELINO,M,9,1,LORICA,NR,PARQUE ,PARQUE ,NEGATIVO,1,9.2394583,-75.8139786
64,65,DL23,SAFIRA ,CANINO,H ,72,3,LORICA,NR,PARQUE ,PARQUE ,NEGATIVO,1,9.2394583,-75.8139786
65,66,DL24,DONNA ,CANINO,H,60,3,LORICA,NR,PARQUE ,PARQUE ,NEGATIVO,1,9.2394583,-75.8139786
66,67,DL25,NEGRO ,FELINO,M,7,1,LORICA,NR,PARQUE ,PARQUE ,NEGATIVO,1,9.2394583,-75.8139786
67,68,TD 1,CAT 1,FELINO,H,12,1,TIERRALTA ,NR,EL PARAISO,EL PARAISO,NEGATIVO,1,8.1717342,-76.059376
68,69,TD 2,CAT 2 ,FELINO,H ,36,2,TIERRALTA ,NR,EL PARAISO,EL PARAISO,NEGATIVO,1,8.1717342,-76.059376
69,70,TD 3 ,CAT 3 ,FELINO,M ,48,3,TIERRALTA ,NR,EL PARAISO,EL PARAISO,NEGATIVO,1,8.1717342,-76.059376
70,71,TD 4,CAT 4 ,FELINO,M ,5,1,TIERRALTA ,NR,EL PARAISO,EL PARAISO,NEGATIVO,1,8.1717342,-76.059376
71,72,TD 5,CAT 5 ,FELINO,M,48,3,TIERRALTA ,NR,EL PARAISO,EL PARAISO,NEGATIVO,1,8.1717342,-76.059376
72,73,TD 6,CAT 6 ,FELINO,H ,48,3,TIERRALTA ,NR,EL PARAISO,EL PARAISO,NEGATIVO,1,8.1717342,-76.059376
73,74,TD 7,CAT 7 ,FELINO,H ,48,3,TIERRALTA ,NR,EL PARAISO,EL PARAISO,NEGATIVO,1,8.1717342,-76.059376
74,75,TD 8,CAT 8 ,FELINO,M ,12,1,TIERRALTA ,NR,EL PARAISO,EL PARAISO,NEGATIVO,1,8.1717342,-76.059376
75,76,TD 9,CAT 9 ,FELINO,M ,24,2,TIERRALTA ,NR,EL PARAISO,EL PARAISO,NEGATIVO,1,8.1717342,-76.059376
76,77,TD 10,CAT 20,FELINO,H ,12,1,TIERRALTA ,NR,EL PARAISO,EL PARAISO,NEGATIVO,1,8.1717342,-76.059376
77,78,TD 11 ,CAT 21,FELINO,M ,24,2,TIERRALTA ,NR,EL PARAISO,EL PARAISO,NEGATIVO,1,8.1717342,-76.059376
78,79,TD 12,CAT 22 ,FELINO,M ,4,1,TIERRALTA ,NR,EL PARAISO,EL PARAISO,NEGATIVO,1,8.1717342,-76.059376
79,80,TD 13,CAT 23,FELINO,M ,24,2,TIERRALTA ,NR,EL PARAISO,EL PARAISO,NEGATIVO,1,8.1717342,-76.059376
